regionName,statename,StateCodeFIPs,JulyValue16,JulyValue17,Julyvalue18,Julyvalue19,Julyvalue20,Julyvalue21,JanValue22,Febvalue22,MarValue22,AprValue22,MayValue22,JunValue22,JulyValue22,2020HousingUnits,2021HousingUnits,pop20,pop21,Unemployment_rate_2016,unemployment_rate_2017,unemployment_rate_2018,unemployment_rate_2019,unemployment_rate_2020,unemployment_rate_2021,MedHHIncome2020,MedHHIncomePercent2020
Yates County,NY,36,145697,154761,165327,173252,179547,196821,210579,214115,214449,214786,215488,217038,218594,13065,13135,24709,24613,4.5,4.4,3.7,3.6,6.3,3.8,"57,057",77.8
Schuyler County,NY,36,124522,132495,141036,147754,153088,167656,179360,182588,182923,183106,183841,185241,186649,9629,9681,17857,17752,6.1,5.8,5.1,4.4,8.3,4.9,"54,269",74
Hamilton County,NY,36,183809,191976,200669,206745,214725,232774,248464,252471,253024,253411,254633,256401,257868,7834,7880,5078,5119,6.6,7.3,6.8,5.7,7.7,4.4,"56,253",76.7
Butler County,OH,39,155641,166350,177290,188831,198916,231932,248293,252574,257312,261985,266511,269942,271739,153891,154873,390600,390234,4.5,4.4,4.1,3.8,7.3,4.5,"69,049",114.4
Allen County,OH,39,95860,100837,108358,114354,117816,142742,153555,154948,156679,158581,160839,163465,164933,44592,44707,102059,101670,5,5,4.5,4.1,8.6,5.7,"52,558",87.1
Ashtabula County,OH,39,98694,101448,103899,110643,116133,124809,139892,141499,143065,147031,150060,153094,153418,46254,46355,97413,97337,6.1,5.9,5.2,4.8,8.3,5.5,"51,252",84.9
Belmont County,OH,39,86627,92204,98825,107370,110929,125496,133518,135397,135856,136148,136758,138131,139494,31607,31575,66235,65849,7.5,6.3,5.5,5.7,10.1,6.1,"50,626",83.9
Athens County,OH,39,115279,121928,130245,136900,141076,158486,164941,166990,167229,167479,168001,169654,171682,26383,26387,62350,62056,6.4,6,5.6,5.3,7.6,5.6,"42,215",69.9
Ashland County,OH,39,119872,125250,134043,141958,147219,167470,176434,179049,179687,180238,180884,182769,184615,22476,22513,52420,52316,5.1,4.9,4.6,4.2,6.5,4.3,"55,699",92.3
Auglaize County,OH,39,124968,131139,139901,148367,154532,175103,186289,189013,189522,190015,190643,192712,194797,19894,20044,46411,46141,3.8,3.7,3.3,3,6.9,3.7,"69,468",115.1
Brown County,OH,39,116407,122134,128896,136091,143478,163816,176134,178820,179551,180201,181078,183234,185258,19347,19454,43629,43662,5.8,5.7,5.4,5,8.3,5.3,"58,067",96.2
