regionName,statename,StateCodeFIPs,JulyValue16,JulyValue17,Julyvalue18,Julyvalue19,Julyvalue20,Julyvalue21,JanValue22,Febvalue22,MarValue22,AprValue22,MayValue22,JunValue22,JulyValue22,2020HousingUnits,2021HousingUnits,pop20,pop21,Unemployment_rate_2016,unemployment_rate_2017,unemployment_rate_2018,unemployment_rate_2019,unemployment_rate_2020,unemployment_rate_2021,MedHHIncome2020,MedHHIncomePercent2020
Ben Hill County,GA,13,68787,72333,76718,80282,79584,88808,94964,97809,98932,100116,100477,101887,102943,8125,8133,17153,17158,8.3,7.8,5.9,5.7,6.8,5.2,"39,305",62.6
Cook County,GA,13,82122,87068,91303,96731,98986,109777,117696,121103,122410,123721,124152,125971,127959,7271,7322,17232,17225,5.5,4.6,3.8,3.5,4.7,3.4,"35,225",56.1
Jefferson County,GA,13,59343,62482,69174,73185,74679,82175,87514,90039,90833,91681,91665,93021,94388,7148,7150,15658,15524,7.5,6.2,5.4,4.9,6.7,4.7,"40,333",64.2
Dade County,GA,13,127762,134180,145409,153926,157710,177938,192161,197889,200426,203141,204209,207294,210427,7392,7413,16224,16326,5.1,4.4,3.7,3.4,4.1,2.6,"41,069",65.4
Telfair County,GA,13,52574,55328,58780,61630,63645,71854,77774,79757,80562,81585,81918,82924,84127,4706,4717,12461,12414,8.5,7.9,6.8,9.6,9.8,7.2,"38,161",60.8
Rabun County,GA,13,202015,209518,223102,235637,236948,269982,294078,303714,307990,312288,314289,319686,325141,11987,12081,16894,17119,6,5,4,3.7,5.3,3.1,"53,038",84.5
Brooks County,GA,13,95716,102413,111983,117112,119919,133920,144232,148592,150252,152054,152627,155066,157251,7288,7331,16232,16270,5.3,4.5,4,3.5,5.2,3.7,"42,973",68.4
Greene County,GA,13,313369,325545,343232,362802,374121,426751,461961,476139,482196,489458,492857,501460,509446,10206,10443,19025,19536,6.1,5.2,4.3,4,5.8,3.7,"61,857",98.5
Jeff Davis County,GA,13,74500,78111,84579,89256,91611,104346,112753,116216,117442,118682,118947,120675,122163,6355,6369,14777,14872,6.4,6.1,4.9,4.7,5.1,4,"44,417",70.7
Dooly County,GA,13,76116,79390,82324,84883,84460,95086,102281,105322,106389,107418,107454,108592,109842,4762,4765,11142,10885,5.9,5.1,4.7,3.9,9,7.3,"45,112",71.8
Oglethorpe County,GA,13,133516,141128,152694,162272,167657,192699,210493,216921,219467,222136,223333,227074,230885,6357,6431,14865,15140,4.9,4.4,3.7,3.3,4.7,2.9,"55,678",88.7
Macon County,GA,13,48266,49176,51210,52119,53782,59899,62591,64229,64935,66010,66552,67484,68063,5111,5126,12021,12004,8.4,7,6.3,4.8,7.6,6.3,"35,997",57.3
Screven County,GA,13,85282,87977,93324,98655,99959,111255,118952,122492,124295,126097,126802,128400,130178,6509,6535,14060,14105,7.6,6.3,5.5,5.6,8.1,5.6,"44,061",70.2
Long County,GA,13,142078,149007,159367,166661,169184,184435,196804,201939,204180,206820,207971,210674,213444,6233,6545,16287,17152,5.5,4.9,4,3.8,4.3,3,"53,841",85.7
McIntosh County,GA,13,144741,145817,153263,159921,162105,180037,193668,200084,202963,206296,207681,211164,214371,6635,6723,10982,11123,5.9,5.1,4,3.8,5.6,3.7,"48,097",76.6
Jasper County,GA,13,126874,132727,144477,156099,162789,186950,203851,209991,212480,215351,217040,221186,224826,6288,6395,14638,15278,4.8,4.3,3.6,3.3,4.9,3.2,"57,796",92
Bleckley County,GA,13,90134,95938,103039,107564,107986,121098,130581,134753,135933,137358,137800,139960,141868,5180,5194,12577,12607,8,6.8,5.8,5.3,6.5,5,"51,448",81.9
Crawford County,GA,13,0,0,0,0,131697,146877,156314,160793,162203,163798,164490,166982,169507,5164,5211,12100,12153,6,5,4.2,3.8,5.1,3.7,"48,184",76.7
Charlton County,GA,13,93095,96940,103201,107287,112971,131212,143183,147407,149728,151573,152340,154164,156695,4665,4694,12530,12766,5.7,5.1,4.4,3.9,3.8,3.2,"46,061",73.3
Pulaski County,GA,13,84899,89093,95605,100069,101411,112302,120825,124293,125567,126846,127173,128956,130781,4284,4305,9863,9917,5.9,5.3,4.4,4,4.7,3.6,"44,019",70.1
Heard County,GA,13,104435,108281,119158,129234,134770,150689,165084,169734,171479,173564,174594,176982,178560,4749,4786,11465,11565,6,5,3.9,3.5,6.4,3.9,"51,532",82.1
Chattahoochee County,GA,13,69120,71744,79047,76229,78078,87856,95688,98809,99896,101428,101807,102795,104037,3241,3243,9482,9048,8.4,6.9,5.5,4.7,6.3,4.5,"51,811",82.5
Bacon County,GA,13,71245,75934,84650,89240,92932,103347,109828,112884,114414,116259,117177,118854,120551,4810,4821,11123,11079,5.3,4.5,3.9,3.8,4.6,3.2,"41,756",66.5
Early County,GA,13,71077,74998,82653,87555,89911,96984,103533,106218,107128,108269,108671,110361,111800,4921,4935,10813,10619,7,5.5,4.7,4.1,5.7,5,"39,697",63.2
Evans County,GA,13,82527,85481,92388,96725,98237,111264,120093,123598,124915,126359,126721,128325,130175,4654,4676,10757,10672,5,4.4,3.7,3.5,5.1,3.5,"51,018",81.2
Candler County,GA,13,96846,102206,110293,117622,121094,134538,145170,149356,151039,152363,152762,154579,156279,4632,4645,11001,11037,4.9,4.1,3.5,3.1,4.4,3,"42,583",67.8
Wilkes County,GA,13,83059,86797,94880,98509,97460,110625,118741,121962,123152,124855,125867,128072,129870,5170,5208,9556,9513,6.7,5.7,4.7,4.8,6.7,4.7,"42,071",67
Towns County,GA,13,197753,202927,216602,228584,232007,263658,282655,291393,295437,299724,301535,306113,310939,8613,8694,12539,12875,6.9,6.6,5.7,5,6.6,3.9,"43,640",69.5
Lanier County,GA,13,107027,110569,116722,121178,123367,139803,150010,154144,155706,157480,158186,160829,163524,4079,4129,9916,9907,5.9,5.1,4.5,4.1,5.2,3.8,"35,215",56.1
Johnson County,GA,13,62556,62690,68617,74218,76766,85262,92257,94801,95286,96138,96284,97788,99152,3543,3552,9168,9160,6.2,5.1,4,3.8,4.9,3.5,"36,358",57.9
Wilkinson County,GA,13,65329,68398,73290,76864,79321,87334,94585,97456,98522,99861,100355,102144,103633,4290,4302,8844,8831,6.4,5.7,4.5,3.9,5.3,4.2,"44,068",70.2
Irwin County,GA,13,82420,88556,96634,100245,102980,115675,123956,127485,128370,129473,129903,131902,133985,4163,4187,9643,9618,7.9,7.1,5.7,4.8,5.6,4.5,"47,492",75.6
Hancock County,GA,13,93934,93571,98837,104705,105920,120142,129083,133358,135283,137651,139013,141537,144250,4901,4927,8722,8630,8.5,7.1,6,5.8,8.8,6.4,"36,424",58
Terrell County,GA,13,63703,66684,71285,74577,74613,80313,87770,90291,91280,92470,93010,94441,95978,4243,4245,9153,8964,6.6,6,6.8,5.2,7.5,6.2,"39,433",62.8
Wilcox County,GA,13,64556,69191,74485,77663,75765,83765,90086,92526,93548,95085,96904,99937,102875,3442,3451,8731,8739,7.3,5.8,5.3,4.6,6,4.6,"40,856",65.1
Montgomery County,GA,13,93732,99454,106831,112185,115232,129037,136744,140468,142281,144225,145055,147028,148786,3745,3770,8577,8653,7.5,6.6,5.8,5.3,5.4,4.1,"47,074",75
Twiggs County,GA,13,60639,63576,68544,72834,75321,86436,92026,94347,95279,96377,96647,98289,99574,4030,4044,7986,7856,8.8,7.6,6,5.8,7.4,5.1,"46,444",74
Turner County,GA,13,68389,69474,73230,76992,77913,87633,93668,96618,97576,98689,98730,100068,101436,3918,3923,8971,8966,6.6,5.7,5.1,3.9,7.3,6.4,"46,042",73.3
Taylor County,GA,13,69373,73902,78583,83548,84567,94631,102292,104810,105408,106528,106955,108487,109765,3896,3912,7814,7799,7.6,8.8,6.6,4.3,7.2,5.7,"38,783",61.8
Marion County,GA,13,89361,95883,105218,113520,116172,128218,141382,145401,146564,146632,145806,146864,149098,3502,3525,7520,7440,7.4,6.1,5.2,4.4,5,3.6,"46,792",74.5
Seminole County,GA,13,81051,83484,89368,93595,95490,106578,113872,117077,118367,119871,120470,122593,124814,5055,5058,9138,9197,8,6.5,5.4,4.4,5,3.7,"41,778",66.5
Atkinson County,GA,13,58737,62145,67257,73669,75556,86091,93531,96270,96758,97223,97031,97732,98015,3471,3512,8301,8391,5.3,4.5,3.6,3.3,3.9,2.9,"39,633",63.1
Jenkins County,GA,13,60572,62101,67349,71819,75084,87467,94545,97597,98629,100020,100676,102560,104052,4070,4096,8662,8639,7.7,6.8,5.4,5.3,6.3,4.7,"38,306",61
Lincoln County,GA,13,131003,136924,144900,153053,156958,178293,192441,197994,200162,202409,203802,207053,210522,4399,4447,7704,7749,6,5.3,5,4,5.4,4,"47,883",76.2
Randolph County,GA,13,47335,49422,51632,54479,56294,62770,66925,68679,69090,69676,69887,71030,71908,3438,3449,6377,6287,8.6,6.5,5.6,5,5.9,5.2,"36,064",57.4
Wheeler County,GA,13,65888,71683,79355,85235,85924,92936,100478,103065,103773,104941,105370,107108,108418,2421,2426,7430,7471,9.1,9,7.4,7.5,7.2,5.5,"36,671",58.4
Treutlen County,GA,13,58970,64961,67866,71076,71736,80396,85692,88329,89450,90462,90417,91415,92447,2870,2891,6390,6306,7.8,6.8,5.9,5.3,6.1,4.3,"40,834",65
Talbot County,GA,13,97130,99021,103678,110959,111363,122244,132863,137226,138581,139722,139967,142052,143796,3045,3054,5731,5742,6.8,6.2,5.1,4.6,6.7,4.5,"44,458",70.8
Clinch County,GA,13,62838,67212,71950,76089,76741,86084,92946,95232,95903,97096,97848,99176,100498,3026,3038,6723,6725,6.2,5.6,4.6,3.8,3.9,2.9,"43,088",68.6
Calhoun County,GA,13,47232,51030,53469,56760,58798,63401,65064,66914,67468,67862,68103,68818,69503,2020,2027,5560,5509,5.7,5.3,4.3,3.7,5.1,4,"37,984",60.5
Miller County,GA,13,85302,89780,96332,102423,104014,117747,125320,128928,130496,131924,132348,133860,135525,2853,2859,5987,5919,5.5,4.5,3.7,3.4,4,3,"51,855",82.6
Stewart County,GA,13,40195,41085,42929,46087,46637,51059,54509,56441,57312,58074,58156,58947,59656,2103,2106,5295,5341,6.5,6,4.8,4.4,5.6,3.8,"40,205",64
Warren County,GA,13,54709,54691,55574,59350,60041,69593,75511,77909,78927,79887,80445,81495,82591,2512,2519,5205,5240,7,5.9,5,4.9,6.7,4.7,"40,422",64.4
Schley County,GA,13,90249,96715,102911,110496,112915,126061,134493,137948,139050,140097,140366,142154,144260,1964,1981,4538,4478,6.4,5.5,4.7,4,4.3,3.7,"53,163",84.7
Echols County,GA,13,79799,83641,89087,97391,103549,113488,124084,127819,129169,130883,130819,132191,133769,1533,1547,3696,3699,4.4,4,3.2,2.9,3.9,2.7,"45,378",72.3
Baker County,GA,13,86014,86574,93143,96156,95222,105864,112099,114814,115488,116535,116525,118402,119681,1448,1452,2844,2819,7.8,6.2,5.3,4.8,6,4.9,"43,696",69.6
Clay County,GA,13,69244,72564,78636,83649,84761,95592,102601,105439,106238,107133,107437,108805,110156,1962,1969,2835,2882,10.5,9.1,7.6,7.1,12.2,10.2,"35,937",57.2
Glascock County,GA,13,80068,90211,98767,104887,112449,126359,138501,141716,143573,145838,147707,149938,152167,1404,1408,2883,2919,6.1,5,4.2,3.8,4,2.6,"50,800",80.9
Webster County,GA,13,72260,72247,81340,84093,86422,95493,101270,103782,105319,107548,108487,109959,111351,1198,1205,2350,2367,8.7,7.6,6.3,5.1,5.6,4.4,"45,381",72.3
Quitman County,GA,13,65460,70240,74202,78545,77082,82669,87097,89309,90734,92546,93667,95247,97297,1681,1688,2224,2243,7.4,5.9,5.7,5.3,6.3,4.9,"37,735",60.1
Taliaferro County,GA,13,61937,63288,66569,71699,75059,90520,99827,102982,105015,107503,108565,109653,111468,909,912,1557,1558,6.9,6.7,5.4,5.3,7.1,5,"28,004",44.6
Honolulu County,HI,15,649266,694364,720951,724822,720076,813147,883038,894098,905142,915767,925463,934810,942506,371183,372626,1013227,1000890,2.7,2.1,2.3,2.3,10.5,5.3,"89,584",103.1
Hawaii County,HI,15,341677,359654,362887,376286,397058,457360,527632,538480,551604,568316,583607,595340,602713,88923,89750,200746,202906,3.5,2.6,2.8,3.1,11.7,5.5,"70,313",80.9
Maui County,HI,15,607547,642772,682767,716530,730201,800381,929925,958799,993275,1019919,1046876,1066421,1086302,71594,72086,164655,164221,3,2.3,2.3,2.4,18.2,7.3,"80,763",93
Kauai County,HI,15,522424,542411,562954,589126,639998,692153,776965,790680,822804,850174,881750,902707,925503,30198,30332,73201,73454,3.1,2.2,2.4,2.4,16.6,7.8,"80,517",92.7
Polk County,IA,19,176822,184398,195184,201669,208199,232798,246624,249276,251099,253273,255162,257637,259152,211019,214991,492769,496844,3.4,3,2.6,2.7,5.9,4.5,"67,821",108.8
Linn County,IA,19,147391,153866,157749,163959,167472,186292,199763,200760,202886,205922,209204,210717,211153,101387,101901,230263,228939,3.6,3.3,2.8,2.8,6.2,5,"69,559",111.5
Scott County,IA,19,151917,157956,158188,165426,172474,186603,196633,197967,198891,199863,200788,201500,201479,77895,78231,174488,174170,4.5,3.6,2.9,3.2,6.6,5.4,"67,038",107.5
Black Hawk County,IA,19,131201,129229,134653,139141,141482,150486,159769,161676,163369,164270,165544,166869,169271,58630,58827,130980,130368,4.6,3.7,2.8,3,6,4.6,"56,091",89.9
Johnson County,IA,19,222752,231207,241265,245202,247194,256882,276727,278601,280707,284568,288638,292495,296499,66171,67075,152984,154748,2.6,2.4,1.9,1.9,4.7,3.7,"68,790",110.3
Woodbury County,IA,19,111921,128500,131896,139939,131730,145464,154480,155605,156158,157080,158273,159799,161979,42777,43279,105829,105607,3.5,3.1,2.5,2.6,5.1,4.3,"60,553",97.1
Dubuque County,IA,19,165448,172192,172237,182321,189825,206204,222197,222342,225432,229075,234861,238340,242281,42676,42899,99229,98718,3.5,2.9,2.4,2.5,5.7,4.4,"65,986",105.8
Pottawattamie County,IA,19,136215,135840,139278,143409,157358,174910,177107,178786,181772,184896,189183,192108,195162,39877,40029,93560,93304,3.4,2.7,2.3,2.3,5.2,4.3,"61,607",98.8
Story County,IA,19,177577,186587,190513,193632,197703,0,229182,231746,233466,233913,234194,234577,235469,41474,41660,98615,99472,2.3,2,1.6,1.7,3.5,3,"61,341",98.4
Dallas County,IA,19,241580,251642,256476,261780,267920,293084,319036,323908,328249,333507,337692,340919,343315,41377,42843,100486,103796,2.6,2.1,1.7,1.8,3.5,2.9,"92,025",147.6
Clinton County,IA,19,146704,152527,157831,162450,166304,146419,151648,152949,157590,161657,166744,169686,173196,21528,21551,46418,46463,4.9,4,3.2,3.5,6.6,5.3,"56,017",89.8
Warren County,IA,19,187765,192820,200530,207865,212703,234779,258166,263293,265104,267846,270129,274216,276650,20938,21448,52548,53402,3.2,2.7,2.3,2.4,4.4,3.7,"82,206",131.8
Cerro Gordo County,IA,19,109825,115407,120968,124377,127416,137809,145609,147409,147820,148303,148577,149450,150334,22603,22746,42965,42706,3.6,3,2.6,2.6,5.1,4.3,"57,659",92.5
Muscatine County,IA,19,125668,130984,134406,138626,140625,152026,159596,161842,162345,162718,162971,164035,165164,18380,18379,43113,42688,3.8,3.2,2.6,2.7,5.8,4.7,"62,877",100.8
Marshall County,IA,19,101878,104695,109121,111864,113260,121790,128440,130117,130452,130735,131032,131869,132818,16747,16775,40059,39853,4.9,4.5,4.4,4.3,6.9,6.5,"64,341",103.2
Des Moines County,IA,19,97264,102018,105450,107365,108473,115587,120610,122232,122778,123232,123685,124431,125245,18784,18805,38831,38491,4.9,4.2,3.3,3.7,7.3,6.3,"55,153",88.4
Webster County,IA,19,84294,87527,90388,92887,93800,103227,108359,109761,110120,110460,110740,111512,112373,16935,17062,36954,37147,4,3.7,3.2,3,5.1,4.6,"58,355",93.6
Jasper County,IA,19,120002,123470,125711,129816,132511,144591,153290,155557,156388,157182,157910,159192,160579,16147,16236,37802,37764,3.5,3.1,2.6,2.8,5.2,4.3,"63,458",101.8
Lee County,IA,19,84925,88700,90567,92936,93250,100527,105672,107232,107827,108259,108572,109225,109970,15852,15839,33512,33215,6,5.3,4,3.7,6.4,5.9,"58,619",94
Wapello County,IA,19,72900,75516,76628,78759,79539,85592,90446,91738,92113,92464,92806,93512,94221,15731,15735,35341,35256,5.7,4.5,3.4,3.5,5.8,5,"49,060",78.7
Sioux County,IA,19,155550,165648,175079,181681,188320,203828,214789,217859,218932,219970,220667,221992,223371,13019,13144,35869,35893,2.3,2,1.8,1.8,2.6,2.4,"74,868",120.1
Marion County,IA,19,140282,146969,155416,162220,166610,181937,193406,196239,196889,197684,198427,200064,201768,14097,14303,33377,33380,3,2.6,2,2,4.1,3.1,"64,327",103.2
Boone County,IA,19,129022,134695,138661,144011,147630,160216,170068,172408,173130,173819,174493,175703,176960,11926,11959,26691,26723,2.8,2.4,2.1,2.3,4,3.5,"70,656",113.3
Benton County,IA,19,143012,148441,152311,157148,160403,172951,181495,184124,185012,185800,187167,189196,191441,11080,11084,25536,25691,3.6,3.2,2.7,2.8,5,4.5,"72,308",115.9
Plymouth County,IA,19,145161,152391,160914,168963,173791,186947,197604,200299,201170,202322,203127,204558,206066,10841,10877,25681,25650,2.5,2.3,1.9,2.1,3.5,3,"72,261",115.9
Bremer County,IA,19,154193,161137,165742,169899,172839,186025,195129,197692,198076,198439,198512,199665,200894,10501,10547,24974,25081,3.5,2.8,2,2.2,3.8,3.2,"74,596",119.6
Mahaska County,IA,19,108390,112245,115973,117965,121041,128226,134684,136464,137067,137679,137981,138574,139261,9683,9710,22148,21984,3.7,3.2,2.5,2.4,4.7,3.7,"59,704",95.7
Washington County,IA,19,131162,137839,143810,147849,152603,164717,171968,174356,174829,175170,175399,176362,177431,9583,9635,22511,22491,2.9,2.9,2.4,2.4,4,3.8,"65,061",104.3
Winneshiek County,IA,19,165881,171652,176736,181243,186130,203839,211702,214401,215216,216032,217053,218233,219589,8924,8997,20031,19892,3.5,3,2.7,2.7,4.8,4.1,"61,813",99.1
Buchanan County,IA,19,124799,130046,134838,139709,143523,154220,162516,164946,165743,166441,167159,168454,169853,8893,8934,20586,20657,4.1,3.1,2.6,2.6,4.5,3.7,"66,852",107.2
Fayette County,IA,19,91845,97161,101371,104361,106382,113116,119487,121280,121938,122453,122990,123777,124862,9298,9306,19399,19258,4.4,3.6,3,3.4,5.3,4.7,"53,254",85.4
Carroll County,IA,19,124031,130084,135320,139602,141525,151642,158400,160513,161225,161815,162223,163167,164236,9493,9512,20702,20692,2.5,2.3,1.9,1.8,3.9,3.1,"61,701",98.9
Jones County,IA,19,134072,140823,145007,149478,152098,164450,173428,175963,176849,177586,178064,179224,180258,8875,8886,20647,20805,4.2,3.6,3,3,5.6,4.5,"61,736",99
Buena Vista County,IA,19,108428,113832,119632,122555,127204,136296,143473,145603,146398,147020,147412,148188,149088,8140,8154,20776,20771,3.5,2.6,2.1,2,3.6,3.2,"61,189",98.1
Henry County,IA,19,111817,116586,118785,122249,126086,136275,143803,145673,146345,146933,147219,147943,148746,8400,8422,20412,20387,3.5,2.9,2.5,2.5,5.2,4.2,"56,260",90.2
Jackson County,IA,19,128754,135433,139425,143638,147520,159131,168256,170581,171413,172138,172582,173374,174751,9249,9270,19437,19368,4.1,3.3,2.8,3,6,5,"61,538",98.7
Poweshiek County,IA,19,135953,140931,145361,150187,153641,165907,174003,175815,176088,176875,177643,178908,180013,8909,8926,18643,18586,3.4,3.1,2.3,2.5,4.8,4.4,"60,023",96.2
Cedar County,IA,19,152270,158332,165003,167965,172459,182395,191365,194173,195105,195915,196407,197251,198219,8199,8241,18495,18410,3.3,2.8,2.4,2.4,4.3,3.8,"68,592",110
Clayton County,IA,19,111885,117467,125797,128476,128675,137122,143703,145640,145873,145988,145838,146584,147484,8760,8775,16996,16998,4.2,3.9,3.2,3.5,5.6,5.1,"56,256",90.2
Tama County,IA,19,100901,104857,109981,113299,116198,122321,128021,129699,130307,130924,131554,132644,133715,7574,7581,17072,16867,4.1,3.4,3,2.9,5,4.7,"58,329",93.5
Delaware County,IA,19,139789,146613,152644,158255,163622,175954,185136,187693,187962,188495,189064,190668,192176,8109,8130,17458,17510,3.4,2.6,2.1,2.2,3.9,3.3,"66,364",106.4
Hardin County,IA,19,0,0,91212,96021,93221,105812,109396,111156,111279,111647,111491,112391,113150,8030,8032,16821,16708,3.9,3.1,2.8,3,4.5,4.2,"58,502",93.8
Crawford County,IA,19,94989,99304,103560,106496,109084,116400,122414,123963,124573,125167,125758,126612,127238,6855,6853,16453,16193,5.4,4,3.4,3.4,5.2,5.2,"56,707",90.9
Jefferson County,IA,19,111199,117109,121621,124691,128146,135299,142062,144173,144729,145424,145898,146982,147828,7697,7707,15659,15647,3.6,3,2.2,2.3,5.4,4.2,"52,830",84.7
Dickinson County,IA,19,212869,221136,229365,238238,244103,266037,282159,286449,287903,289227,290085,291813,293638,13737,13924,17747,17851,4.3,3.6,3.2,2.7,5,3.9,"67,477",108.2
Clay County,IA,19,115735,120238,124208,127583,132148,141012,147429,149102,148693,148263,147895,148691,149597,8132,8142,16333,16440,3.8,3.7,3.2,2.6,4.4,3.6,"59,940",96.1
Iowa County,IA,19,143252,148494,154262,159926,163990,175447,184851,187459,188270,189029,189763,191050,192480,7344,7358,16679,16568,3.1,2.6,2.1,2.1,4.3,3.8,"67,820",108.8
Floyd County,IA,19,99304,101674,104903,107880,110195,118352,126141,128029,128538,128752,128810,129357,130240,7312,7315,15552,15413,3.6,3.2,2.7,3.4,5.9,4.3,"60,790",97.5
Page County,IA,19,76450,79041,81373,83490,83664,90858,96840,98347,98886,99014,99146,99694,100457,6982,6980,15180,15197,5,3.8,2.5,2.4,4.9,4.1,"52,739",84.6
Madison County,IA,19,164111,172394,179214,186834,195216,213549,225461,228761,229214,229505,229605,231246,232981,6936,7030,16626,16773,3.5,3.5,3.2,3.5,5.6,4.5,"75,563",121.2
Hamilton County,IA,19,0,0,103454,106744,107744,118508,127071,129090,130064,130970,131316,131879,132414,7038,7035,15020,14887,3.7,3.2,2.7,2.7,4.3,4.2,"61,650",98.9
Kossuth County,IA,19,93932,94983,101742,104205,106116,110941,117508,119174,119772,120294,120720,121577,122337,7217,7218,14786,14529,2.6,2.3,2,2.1,3.7,3.3,"65,006",104.2
Mills County,IA,19,162623,168722,174205,180214,184911,200759,213322,216327,217340,218725,220023,222226,224211,6111,6111,14405,14465,3.6,2.7,2.1,2.2,3.9,3.5,"76,010",121.9
Harrison County,IA,19,116282,118608,122842,127486,129574,139742,148566,150685,151310,152058,152608,153657,154602,6670,6690,14546,14669,3.4,2.7,2.2,2.4,4,3.9,"63,118",101.2
Butler County,IA,19,118792,122219,127189,130127,131708,141185,149694,151782,152473,153057,153492,154295,155227,6539,6557,14311,14332,4.3,3.5,2.7,3,4.5,3.8,"54,822",87.9
O Brien County,IA,19,94805,99626,104166,107047,108941,118805,124872,126432,126953,127297,127635,128416,129435,6526,6550,14154,14015,2.7,2.4,2,2,3.3,3,"63,559",101.9
Allamakee County,IA,19,126891,133441,137786,143035,147480,159601,166940,169492,170316,170853,171183,172267,173476,7677,7716,14067,13926,4.9,3.9,3.1,3.3,5,4.6,"55,320",88.7
Cass County,IA,19,90848,93568,95975,98708,99050,106764,112699,114316,114779,115195,115538,116137,116760,6398,6398,13104,13050,3.2,3.5,2.7,2.7,3.8,3.7,"55,301",88.7
Wright County,IA,19,72919,74977,78507,83374,84612,92060,97459,98884,99338,99865,100346,101285,102162,6261,6267,12914,12785,4.1,3.4,2.6,2.4,3.9,4.1,"57,133",91.6
Appanoose County,IA,19,75179,76679,76286,78233,80469,87064,92155,93584,94152,94708,95413,96396,97216,6306,6313,12282,12257,4.7,3.7,3.3,3.4,5.2,4.3,"49,737",79.8
Union County,IA,19,77799,88021,90593,93613,92604,98581,104136,105597,105503,105448,105434,106688,107923,5782,5778,12097,12018,3.8,3.1,3.5,3.1,5.7,4.5,"48,862",78.4
Grundy County,IA,19,134306,140044,144711,148483,151424,163104,170974,173242,174045,174714,175350,176415,177557,5467,5480,12312,12347,3.4,2.9,2.5,2.6,4.3,3.6,"71,837",115.2
Chickasaw County,IA,19,117636,122024,126227,130364,132551,143131,149372,151422,151714,151978,152181,153321,154577,5533,5532,11970,11887,4.4,3.1,2.7,2.7,4.6,3.6,"63,869",102.4
Shelby County,IA,19,119346,124528,127052,130927,131347,141591,149532,151394,152028,152766,153651,154831,155875,5432,5435,11699,11770,2.9,2.3,2,2,3.5,3.2,"54,234",87
Cherokee County,IA,19,93301,99213,105580,111356,112310,121803,128228,129804,130254,131076,131646,132639,133513,5558,5557,11632,11503,3.6,2.5,2.1,2.4,3.7,3.4,"61,360",98.4
Lyon County,IA,19,127235,133111,136848,142215,146455,161928,169472,172056,173379,174160,174780,175570,177712,4821,4837,11917,12011,2,1.7,1.5,1.6,2.5,2.3,"67,280",107.9
Louisa County,IA,19,95694,100547,104267,108498,108760,117488,123161,125125,125962,126646,127140,127899,128593,4715,4733,10806,10749,3.9,3.2,2.6,2.9,4.8,4.3,"72,404",116.1
Hancock County,IA,19,95568,98723,101914,104163,107645,117767,124226,125935,126461,126854,127282,128014,128988,5114,5123,10757,10663,2.7,2.6,2.3,2.3,4.5,3.8,"58,053",93.1
Guthrie County,IA,19,122786,131751,137975,143276,145611,156569,165919,168496,168935,169549,170329,172391,174420,5776,5806,10612,10567,3.6,3.2,2.6,2.9,4.9,4.2,"65,344",104.8
Winnebago County,IA,19,97780,102566,104638,107322,108155,116203,122537,124295,125046,125519,126297,127329,128530,5075,5071,10650,10656,3.4,3.1,2.6,2.6,6.2,4.2,"52,706",84.5
Mitchell County,IA,19,113599,118217,122076,125660,128611,139060,148483,150875,151698,152368,152947,153200,153746,4855,4903,10582,10555,2.6,2.1,1.8,1.6,3.3,3,"67,127",107.6
Montgomery County,IA,19,76051,77050,79010,81936,82195,88735,93619,95040,95534,96055,96663,97634,98679,5007,5007,10335,10322,3.5,3.1,2.4,2.5,4.6,4.1,"54,767",87.8
Franklin County,IA,19,85880,88108,90039,92003,92063,100664,108547,110000,110434,110811,111342,112222,113111,4655,4647,9983,9952,3.4,2.7,2.1,2.2,3.7,3.7,"59,596",95.6
Keokuk County,IA,19,79500,81975,84140,85967,87154,92349,98219,99328,99039,98692,98354,99078,99741,4652,4648,9995,9914,4.3,3.5,2.9,3.1,4.8,4.4,"54,790",87.9
Sac County,IA,19,83864,87629,90376,93611,96157,106668,113431,115090,115695,116214,116914,117850,118725,5117,5114,9791,9752,3,2.8,2.3,2.2,3.5,3.3,"54,107",86.8
Emmet County,IA,19,76804,80962,88386,91937,86455,93736,98090,99158,99640,100357,100361,100369,100312,4475,4479,9332,9321,4.2,3.1,2.7,2.4,4.8,4.1,"57,652",92.4
Humboldt County,IA,19,94640,99033,104838,109592,110615,123316,130141,131873,132185,132501,132746,133728,134625,4571,4580,9595,9634,2.9,3,2.5,2.5,4.1,3.5,"62,071",99.5
Calhoun County,IA,19,76101,80117,84257,86829,89625,95564,100896,102323,102869,103348,103659,104358,105096,4772,4783,9886,9915,3.7,3,2.5,2.4,4,3.9,"62,000",99.4
Howard County,IA,19,97488,98313,104377,108478,112845,121865,125640,127574,128509,129265,129847,130913,132423,4313,4316,9487,9478,3.6,3,2.5,2.7,4.3,3.8,"60,034",96.3
Palo Alto County,IA,19,91560,96133,100297,104220,106217,112643,118863,120612,121186,121724,121940,122676,123661,4515,4517,8961,8906,3.1,2.6,2.2,2.1,4.5,3.3,"63,164",101.3
Greene County,IA,19,80547,85065,91130,93007,96865,101740,108234,109790,110453,111499,112343,113327,114204,4313,4318,8746,8717,3.1,2.7,2.3,2.3,4.1,3.4,"54,857",88
Clarke County,IA,19,99992,105684,109962,111545,116382,127158,133970,135763,136551,137509,137895,138933,140164,4290,4394,9726,9785,3.3,3.1,2.8,2.7,5.2,4.3,"69,923",112.1
