CBSA,MDIV,STCOU,NAME,LSAD,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,POPESTIMATE2019,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021
17020,,6007,"Butte County, CA",County or equivalent,220000,220005,219949,219975,220869,221641,223516,224631,226231,228696,230339,219186,211632,210083,208309
26820,,16023,"Butte County, ID",County or equivalent,2891,2893,2915,2833,2760,2667,2658,2566,2572,2585,2587,2597,2574,2577,2654
12060,,13035,"Butts County, GA",County or equivalent,23655,23695,23786,23609,23438,23218,23341,23520,23736,24067,24192,24936,25434,25542,25781
16740,,37025,"Cabarrus County, NC",County or equivalent,178011,178121,178562,181175,184340,187240,191680,196396,201639,206988,211597,216453,225804,227065,231278
26580,,54011,"Cabell County, WV",County or equivalent,96319,96295,96322,96612,96949,97026,96639,96582,95681,94452,93035,91945,94350,94137,93418
30860,,49005,"Cache County, UT",County or equivalent,112656,112656,113386,114781,115895,117025,117894,119697,122201,124236,126400,128289,133154,133527,137417
43340,,22017,"Caddo Parish, LA",County or equivalent,254969,254914,255590,256967,257252,255127,252605,251345,248837,245935,242833,240204,237848,237056,233092
29340,,22019,"Calcasieu Parish, LA",County or equivalent,192768,192772,193026,193861,194479,195492,196570,198450,200568,202466,203177,203436,216785,216416,205282
28140,,29025,"Caldwell County, MO",County or equivalent,9424,9418,9428,9278,9088,9040,8998,9002,9043,9059,9071,9020,8815,8806,8897
25860,,37027,"Caldwell County, NC",County or equivalent,83029,83058,83022,82451,82081,82048,81667,81518,81766,81933,82026,82178,80652,80512,80463
12420,,48055,"Caldwell County, TX",County or equivalent,38066,38055,38127,38470,38682,39201,39703,40419,41147,42328,43161,43664,45883,45967,46791
11500,,1015,"Calhoun County, AL",County or equivalent,118572,118526,118408,117744,117190,116471,115917,115469,114973,114710,114331,113605,116441,116266,115972
15780,,5013,"Calhoun County, AR",County or equivalent,5368,5368,5362,5243,5278,5192,5167,5200,5143,5201,5227,5189,4739,4725,4741
41180,,17013,"Calhoun County, IL",County or equivalent,5089,5089,5096,5049,4985,5008,4925,4860,4869,4851,4829,4739,4437,4411,4369
12980,,26025,"Calhoun County, MI",County or equivalent,136146,136150,135951,135105,134737,134751,134804,134327,134344,134180,134049,134159,134310,134113,133819
17900,,45017,"Calhoun County, SC",County or equivalent,15175,15178,15097,15095,14870,14989,14845,14759,14744,14696,14563,14553,14119,14125,14165
38920,,48057,"Calhoun County, TX",County or equivalent,21381,21382,21313,21359,21575,21729,21812,21887,21948,21712,21504,21290,20106,20047,19727
10180,,48059,"Callahan County, TX",County or equivalent,13544,13545,13512,13511,13488,13502,13505,13589,13789,13968,13990,13943,13708,13750,14115
27620,,29027,"Callaway County, MO",County or equivalent,44332,44331,44310,44304,44399,44528,44633,44699,45069,44982,44954,44743,44283,44288,44638
34660,,21035,"Calloway County, KY",County or equivalent,37191,37190,37348,37667,38046,38425,38452,38656,38733,38832,38964,39001,37103,37147,37560
11540,,55015,"Calumet County, WI",County or equivalent,48971,48981,49040,49622,49653,49648,49479,49818,49607,49995,50132,50089,52442,52476,52539
47900,47894,24009,"Calvert County, MD",County or equivalent,88737,88739,88988,89327,89720,90444,90540,90477,91052,91435,92065,92525,92783,92857,93928
25200,,16025,"Camas County, ID",County or equivalent,1117,1117,1116,1115,1085,1043,1054,1070,1082,1096,1121,1106,1077,1089,1139
27780,,42021,"Cambria County, PA",County or equivalent,143679,143695,143461,142579,141536,138826,137537,136028,134414,132960,131449,130192,133472,132957,132167
41220,,13039,"Camden County, GA",County or equivalent,50513,50512,50661,50303,51351,51404,51909,52439,52394,53005,53651,54666,54768,54911,55664
47260,,37029,"Camden County, NC",County or equivalent,9980,9980,10009,10024,10003,10116,10278,10282,10397,10532,10676,10867,10355,10398,10835
37980,15804,34007,"Camden County, NJ",County or equivalent,513657,513535,513275,512585,511584,509908,508316,507638,507002,506224,506353,506471,523485,523204,523771
15180,,48061,"Cameron County, TX",County or equivalent,406220,406215,407630,413201,415877,417357,419005,419450,421350,422227,422139,423163,421017,421191,423029
29340,,22023,"Cameron Parish, LA",County or equivalent,6839,6868,6917,6673,6631,6713,6726,6825,6896,6944,7013,6973,5617,5619,5080
34420,,48063,"Camp County, TX",County or equivalent,12401,12401,12398,12422,12487,12462,12657,12699,12771,12845,12983,13094,12464,12450,12616
17140,,21037,"Campbell County, KY",County or equivalent,90336,90338,90623,91241,91246,91423,91971,92124,92257,92878,93464,93584,93076,93086,93050
28940,,47013,"Campbell County, TN",County or equivalent,40716,40723,40735,40688,40532,40247,39893,39772,39784,39791,39795,39842,39272,39277,39578
