,RegionID,RegionName,Statename,julyvalue16,julyvalue17,julyvalue18,julyvalue19,julyvalue20,julyvalue21,Janvalue22,febvalue22,marchvalue22,aprvalue22,mayvalue22,junevalue22,julyvalue22,JulyListings22,JulyInv22,pop20,PopMale20,PopFemale20,MedianAge20,MedianAgeMale20,medianAgeFemale20,pop21,PopMale21,PopFemale21,MedianAgeMale21,MedianAgeFemale21,MedianAge21,StateCode
61,394365,"Batavia, NY",NY,116139,122922,129894,136097,144967,158541,172938,174954,177297,178800,180436,181634,182781,54.0,88,58258.0,29227.0,29031.0,42.8,41.6,44.2,57853.0,29074.0,28779.0,41.7,44.3,43.0,9
62,394366,"Batesville, AR",AR,83854,87957,91995,96414,100561,110265,116604,119899,121418,122854,123292,124087,124820,36.0,103,55174.0,27265.0,27909.0,41.6,40.4,42.7,55345.0,27312.0,28033.0,40.4,42.8,41.6,19
63,394367,"Baton Rouge, LA",LA,177825,181755,191955,188268,192156,206059,219414,222365,225759,229282,232284,234542,236030,965.0,2212,870178.0,426595.0,443583.0,36.4,35.5,37.3,871905.0,426889.0,445016.0,35.7,37.5,36.6,12
64,394368,"Battle Creek, MI",MI,101127,105803,111621,119326,128000,150391,164313,167179,169608,171993,173557,173246,171881,204.0,427,134113.0,66125.0,67988.0,40.0,38.9,41.1,133819.0,65963.0,67856.0,39.0,41.1,40.0,4
65,394369,"Bay City, MI",MI,96533,98166,103069,106983,114630,133566,146550,148070,149711,150964,152765,154266,155477,159.0,300,103594.0,51242.0,52352.0,43.6,42.2,45.2,102985.0,50978.0,52007.0,42.4,45.4,43.9,4
66,394370,"Bay City, TX",TX,135276,143970,150166,155342,158734,176432,189556,194818,197286,199511,201066,204539,207977,42.0,170,36269.0,18245.0,18024.0,37.5,36.8,38.3,36344.0,18272.0,18072.0,36.7,38.3,37.5,2
67,394371,"Beatrice, NE",NE,96963,102652,107595,112018,114626,127369,134670,136621,137033,137528,138285,139516,140694,31.0,76,21663.0,10901.0,10762.0,43.2,42.1,44.3,21616.0,10874.0,10742.0,42.2,44.4,43.3,29
68,394372,"Beaumont, TX",TX,119121,121401,124828,130560,134693,145399,153052,155080,156500,157773,158598,160083,162166,484.0,1412,396958.0,201748.0,195210.0,37.1,36.3,38.1,395419.0,201001.0,194418.0,36.4,38.2,37.3,2
69,394373,"Beaver Dam, WI",WI,144920,144835,158074,169134,176457,202051,216077,217988,220065,223171,227067,230205,232566,99.0,248,89262.0,47474.0,41788.0,42.6,41.1,44.7,89313.0,47555.0,41758.0,41.2,44.7,43.0,17
70,394374,"Beckley, WV",WV,78755,79386,80716,82620,83609,88171,92961,94688,95414,96307,96682,97226,97597,95.0,234,114707.0,58012.0,56695.0,43.2,41.8,44.8,113698.0,57492.0,56206.0,41.8,44.8,43.3,30
71,394375,"Bedford, IN",IN,94708,99760,107035,114859,120103,138807,148832,151821,153161,154491,155535,156445,157277,76.0,152,45022.0,22484.0,22538.0,43.2,42.1,44.3,45070.0,22561.0,22509.0,42.0,44.4,43.2,16
72,394376,"Beeville, TX",TX,104321,112305,120497,126126,129062,140721,152021,155612,156714,158058,158553,160438,162281,17.0,63,30990.0,18906.0,12084.0,35.6,35.2,36.4,30924.0,18956.0,11968.0,35.4,36.7,36.0,2
73,394377,"Bellefontaine, OH",OH,120428,127817,136040,145619,152991,171066,181553,184244,184830,185474,186127,188250,189664,79.0,164,46065.0,23000.0,23065.0,41.9,41.1,42.7,46035.0,22943.0,23092.0,41.3,42.8,42.0,5
74,394378,"Bellingham, WA",WA,313652,352624,386490,414882,437142,526406,602331,614289,623682,632014,637964,644354,648600,407.0,773,227304.0,112891.0,114413.0,37.9,37.0,38.7,228831.0,113539.0,115292.0,37.3,39.1,38.2,1
75,394379,"Bemidji, MN",MN,151509,161740,171751,180269,185219,206690,218436,220291,219926,219604,220297,222040,224100,57.0,121,46230.0,23171.0,23059.0,34.6,33.5,35.8,46380.0,23291.0,23089.0,33.7,36.1,34.9,10
76,394380,"Bend, OR",OR,345070,373635,399522,418933,443047,597511,662463,667975,678149,690818,703622,708048,702859,481.0,1096,199355.0,99363.0,99992.0,42.4,41.4,43.4,204801.0,102222.0,102579.0,41.5,43.4,42.5,8
77,394381,"Bennettsville, SC",SC,42041,46042,51999,54815,58030,59545,65068,66317,66411,67132,67506,68610,69891,7.0,19,26537.0,13851.0,12686.0,41.2,38.5,44.6,26382.0,13777.0,12605.0,38.5,44.9,41.7,31
78,394382,"Bennington, VT",VT,215917,218217,224044,233115,239805,274394,292734,299093,299899,301800,302726,305584,307821,61.0,142,37271.0,18306.0,18965.0,47.0,45.5,48.3,37312.0,18340.0,18972.0,45.5,48.4,47.0,28
79,394383,"Berlin, NH",NH,110551,114126,119595,124844,128512,150717,161823,164525,165579,166835,167794,169703,171607,78.0,185,31173.0,16442.0,14731.0,49.0,47.5,50.7,31289.0,16536.0,14753.0,47.6,51.1,49.4,32
80,394384,"Big Rapids, MI",MI,112398,118476,125537,131595,133763,156105,167641,169143,168796,168373,173572,175326,177128,62.0,165,39781.0,20115.0,19666.0,37.6,36.1,39.1,40031.0,20243.0,19788.0,36.2,39.2,37.7,4
81,394385,"Big Spring, TX",TX,103024,114355,122629,129275,134038,154194,161164,161667,162387,163744,164210,166335,168415,43.0,165,34797.0,20068.0,14729.0,36.9,37.2,36.4,34128.0,19752.0,14376.0,38.0,36.9,37.5,2
82,394386,"Billings, MT",MT,242976,247371,254349,262734,271882,309276,338238,342264,347228,353849,361223,367846,372702,278.0,558,184567.0,91762.0,92805.0,39.5,38.7,40.3,187037.0,93098.0,93939.0,38.7,40.4,39.5,33
83,394387,"Binghamton, NY",NY,110879,111821,120668,121875,126749,146867,156130,157735,158667,160138,161922,163287,164248,272.0,624,246554.0,122527.0,124027.0,40.7,39.2,42.3,245220.0,121720.0,123500.0,39.3,42.1,40.7,9
84,394388,"Birmingham, AL",AL,150647,156503,164313,173365,185657,211553,229808,232911,235538,239089,241914,244511,245833,1774.0,3491,1114710.0,537441.0,577269.0,38.9,37.7,40.0,1114262.0,537125.0,577137.0,37.8,40.1,39.0,11
85,394390,"Bismarck, ND",ND,266435,267605,267783,266166,275617,296324,308904,311453,314027,316578,319594,321568,323349,174.0,411,133666.0,67352.0,66314.0,37.8,37.1,38.6,134417.0,67790.0,66627.0,37.3,38.7,38.0,34
86,394391,"Blackfoot, ID",ID,170081,187104,211611,230780,246950,290762,320107,328470,329606,330849,332213,336546,340899,44.0,191,48068.0,24179.0,23889.0,34.5,34.1,34.8,48876.0,24608.0,24268.0,34.3,35.0,34.6,35
87,394392,"Blacksburg, VA",VA,172044,177814,185552,196931,201612,225346,239276,242659,243811,244941,245886,248300,250873,192.0,376,166111.0,84418.0,81693.0,34.3,32.8,36.0,165293.0,83934.0,81359.0,33.0,36.3,34.6,36
88,394393,"Bloomington, IN",IN,166550,176001,189075,202496,214461,244194,263352,267974,271783,274978,276732,278921,280716,218.0,462,160815.0,80413.0,80402.0,32.1,31.2,33.1,161321.0,80493.0,80828.0,31.5,33.2,32.4,16
89,394395,"Bloomsburg, PA",PA,147609,154529,161653,169137,175224,191354,203774,206610,206758,206882,207713,209753,211883,73.0,159,82782.0,40308.0,42474.0,41.5,40.5,42.6,82959.0,40444.0,42515.0,40.4,42.4,41.4,13
90,394396,"Bluefield, WV",WV,73620,74871,77758,80676,81334,88054,94048,95987,96597,97210,97722,98463,99271,65.0,180,106052.0,52449.0,53603.0,44.4,42.6,46.4,105195.0,52037.0,53158.0,42.6,46.4,44.5,30
91,394397,"Blytheville, AR",AR,75170,79503,84581,89699,90321,95714,102668,103964,104385,105206,105438,105972,106584,23.0,98,40503.0,19894.0,20609.0,36.7,34.9,38.3,39661.0,19467.0,20194.0,35.3,38.5,36.9,19
92,394398,"Bogalusa, LA",LA,99493,103679,102097,105658,109405,115106,122282,123991,124793,125719,126489,127814,128634,18.0,68,45370.0,22465.0,22905.0,40.0,38.7,41.4,45133.0,22442.0,22691.0,38.7,41.5,40.1,12
93,394399,"Boise City, ID",ID,215326,234942,268373,299624,334635,482814,508865,514509,516462,514677,514265,514758,511618,1590.0,3277,769581.0,386738.0,382843.0,37.4,36.7,38.0,795268.0,399637.0,395631.0,36.9,38.3,37.6,35
95,394402,"Boone, NC",NC,243916,0,250882,261525,0,373546,428535,435564,442856,457413,467465,475674,475849,149.0,344,54072.0,27038.0,27034.0,34.3,33.6,35.1,54234.0,27006.0,27228.0,34.1,35.3,34.7,20
96,394403,"Borger, TX",TX,65525,68956,71193,72881,73356,78703,83742,85560,86041,86563,86787,87926,89186,31.0,74,20539.0,10474.0,10065.0,38.6,38.2,39.0,20495.0,10409.0,10086.0,38.6,39.1,38.9,2
97,394404,"Boston, MA",MA,427783,452918,481045,488165,505870,588656,620826,628021,636454,646256,654216,659844,661141,5354.0,9232,4936511.0,2415578.0,2520933.0,38.9,37.8,40.0,4899932.0,2396924.0,2503008.0,38.2,40.3,39.2,27
98,394405,"Boulder, CO",CO,487660,519770,550959,570619,578557,691242,752461,765608,780929,797805,814781,816751,809342,547.0,1225,330811.0,167412.0,163399.0,37.5,36.3,38.9,329543.0,166604.0,162939.0,36.8,39.3,38.0,37
99,394406,"Bowling Green, KY",KY,140875,151046,161594,169644,173692,181036,204576,208547,208857,209474,210654,211966,214079,188.0,527,179978.0,89279.0,90699.0,35.5,34.5,36.4,182594.0,90559.0,92035.0,34.6,36.3,35.5,38
100,394407,"Bozeman, MT",MT,313892,340647,376863,406125,433179,518675,590363,595826,595040,592802,598640,621191,648167,241.0,520,119502.0,62306.0,57196.0,33.9,33.3,34.6,122713.0,64129.0,58584.0,33.4,34.8,34.1,33
101,394409,"Bradford, PA",PA,60779,63485,67617,71573,72797,75414,83732,85204,85234,85331,85634,86477,87352,29.0,87,40306.0,20834.0,19472.0,43.0,41.1,45.1,39941.0,20653.0,19288.0,41.1,45.1,43.1,13
102,394410,"Brainerd, MN",MN,173654,181312,190679,202585,217237,255990,278622,282990,288420,292645,298029,302302,306157,224.0,440,96361.0,48735.0,47626.0,45.9,45.1,46.8,97909.0,49516.0,48393.0,45.4,46.9,46.1,10
